problemSize,time
1,6620
2,5594
3,9381
4,6274
5,7162
6,6201
7,7188
8,6248
9,9575
10,5278
11,7266
12,6266
13,7280
14,6303
15,9521
16,6330
17,7376
18,6272
19,7253
20,6288
21,10704
22,6383
23,7359
24,6330
25,7413
26,10719
27,7050
28,7935
29,7417
30,8314
31,9621
32,6465
33,7468
34,6493
35,7583
36,9770
37,6507
38,7530
39,6742
40,7833
41,9779
42,6625
43,7814
44,6842
45,7936
46,9848
47,6849
48,7817
49,6986
50,8044
51,11006
52,7987
53,8279
54,8481
55,10007
56,7102
57,8207
58,7398
59,8434
60,10153
61,7293
62,8488
63,7582
64,9591
65,10122
66,7453
67,8509
68,7762
69,9781
70,10261
71,7655
72,8801
73,8013
74,10078
75,11414
76,11100
77,8325
78,11441
79,10461
80,8028
81,9165
82,8297
83,10504
84,8098
85,9116
86,10612
87,10460
88,8210
89,9376
90,10842
91,10571
92,8398
93,9496
94,10937
95,12375
96,11931
97,11912
98,10755
99,10608
100,7758
101,10126
102,10871
103,10737
104,11844
105,10917
106,11000
107,12316
108,11003
109,12061
110,11551
111,12523
112,12070
113,13731
114,11187
115,11318
116,13020
117,11192
118,11403
119,11882
120,11283
121,11569
122,11944
123,11352
124,11651
125,13026
126,13007
127,13950
128,14797
129,11530
130,11853
131,12416
132,11672
133,12186
134,12652
135,11681
136,12770
137,12632
138,11887
139,12406
140,13259
141,13521
142,13751
143,16044
144,11923
145,12401
146,13562
147,12929
148,13163
149,13142
150,13045
151,13544
152,13583
153,13093
154,13133
155,14693
156,15421
157,14652
158,13007
159,13537
160,13424
161,12906
162,13664
163,13503
164,13023
165,12909
166,13822
167,13124
168,14046
169,14331
170,14905
171,14664
172,13747
173,13685
174,14642
175,13623
176,14102
177,14776
178,13726
179,13791
180,14718
181,13830
182,13992
183,15150
184,15761
185,15227
186,13925
187,14160
188,15102
189,14022
190,14708
191,15146
192,14053
193,15081
194,14064
195,14684
196,15379
197,16204
198,15966
199,14696
200,14994
201,14297
202,14897
203,14374
204,14863
205,14405
206,14872
207,16024
208,17395
209,14784
210,15180
211,15224
212,15223
213,14627
214,15308
215,14744
216,15451
217,18103
218,17916
219,14847
220,16257
221,14792
222,15447
223,14886
224,16039
225,14920
226,15832
227,18470
228,18402
229,15355
230,16035
231,15090
232,16070
233,15096
234,17782
235,15187
236,16167
237,17590
238,19080
239,15343
240,16816
241,15328
242,16249
243,15472
244,16549
245,15438
246,16742
247,18552
248,19002
249,15498
250,18474
251,15601
252,18682
253,15594
254,17893
255,15699
256,18669
257,18172
258,19736
259,15771
260,18351
261,15856
262,18449
263,15895
264,18827
265,15955
266,19094
267,17922
268,21188
269,17123
270,18964
271,16059
272,18563
273,17191
274,18466
275,16166
276,18905
277,18987
278,21903
279,17307
280,18600
281,17422
282,18844
283,17535
284,18839
285,17514
286,19064
287,19423
288,22184
289,17587
290,19079
291,17704
292,19409
293,16692
294,19380
295,17744
296,19398
297,18690
298,23385
299,16923
300,19736
301,17885
302,19855
303,16988
304,20049
305,17057
306,20132
307,20555
308,23817
309,18153
310,20315
311,18294
312,20779
313,17278
314,20473
315,17269
316,20556
317,20090
318,25497
319,17459
320,21015
321,17538
322,21232
323,17942
324,21017
325,17584
326,21088
327,22184
328,17639
329,21349
330,18062
331,21782
332,17757
333,22065
334,17808
335,22250
336,21465
338,19004
339,22019
340,18021
341,22122
342,18423
343,22476
344,18120
345,22318
346,20889
348,19320
349,22610
350,18279
351,22964
352,18323
353,22695
354,18428
355,23283
356,21518
358,18444
359,23608
360,18525
361,23267
362,18636
363,23393
364,19688
365,23649
366,23241
367,18857
368,23864
369,19946
370,24376
371,20004
372,24055
373,19369
374,24154
375,22354
376,19042
377,24481
378,20113
379,24808
380,19521
381,24913
382,19163
383,24830
384,23660
385,19389
386,25103
387,19284
388,25267
389,19722
390,25465
391,19538
392,25470
393,24437
394,19591
395,25649
396,20662
398,19667
399,25885
400,19721
401,26095
402,23396
403,19887
405,21371
407,20097
409,20382
411,24209
412,20214
414,20285
416,21438
418,20312
420,23794
421,21502
422,20468
424,20506
426,20648
428,24557
429,21752
430,22069
431,20707
433,22281
434,25285
435,21898
436,21902
437,20884
439,21088
441,24873
442,21114
444,22210
445,21197
446,22235
447,26054
448,21212
450,21219
452,21406
453,22512
454,26379
455,21549
457,22590
458,21526
460,22660
461,26674
462,21785
463,21771
465,21788
466,21805
467,26684
468,22365
469,21879
470,22082
471,23085
472,26834
473,23189
474,22124
475,21947
476,22066
477,26389
478,22355
479,22357
480,22234
481,22451
482,26975
483,23691
484,22396
485,22273
486,23603
487,26923
488,22690
489,22672
490,22868
491,22707
492,26791
493,23063
494,22873
495,22935
496,23939
497,26723
498,23071
499,23063
500,23030
